bench,	naive_t,	naive_e,	optimized_t,	optimized_e
stencil/blur3x3/256,	188.3,	24.70,	185.1,	23.68
stencil/blur3x3/512,	618.4,	185.4,	591.5,	173.5
stencil/blur3x3/1024,	1070,	514.4,	1075,	496.2
stencil/blur3x3/2048,	2128,	1793 ,	2161,	1763
stencil/blur3x3/4096,	576.9,	59.83,	2586,	542
stencil/blur5x5/256,	225.7,	48.97,	209.1,	55.18
stencil/blur5x5/512,	216.5,	44.57,	207.9,	40.04
stencil/blur5x5/1024,	236.4,	32.54,	223.8,	45.29
stencil/blur5x5/2048,	277.7,	41.38,	333.2,	72.06
stencil/blur5x5/4096,	2541,	5047 ,	2658,	5656
stencil/blur7x7/256,	221.6,	68.90,	206.3,	59.59
stencil/blur7x7/512,	239.4,	113.8,	203.6,	33.52
stencil/blur7x7/1024,	237.4,	49.75,	227.7,	32.17
stencil/blur7x7/2048,	391.8,	71.17,	403.3,	61.19
stencil/blur7x7/4096,	3143,	5535 ,	2940,	5485
stencil/blur9x9/256,	206.8,	53.03,	204.5,	55.20
stencil/blur9x9/512,	223.7,	34.44,	219.8,	39.76
stencil/blur9x9/1024,	243.7,	43.77,	235.1,	40.65
stencil/blur9x9/2048,	536.0,	56.31,	559.5,	68.31
stencil/blur9x9/4096,	2258,	42.57,	3263,	4998
matrix/256,	18700,	9495,	24950 ,	13990
matrix/512,	12400,	12060,	16280 ,	14960
matrix/1024,	15180  ,	12360,	19650 ,	15690
matrix/2048,	37560  ,	14010,	38300 ,	16950
matrix/4096,	252800,	20530,	185100,	15910